iter	Passed	Remaining
0	152	151886
1	154	77064
2	157	52198
3	159	39757
4	160	32019
5	162	26844
6	163	23156
7	164	20381
8	165	18221
9	166	16488
10	167	15070
11	168	13900
12	169	12903
13	171	12051
14	174	11451
15	175	10796
16	179	10378
17	181	9918
18	182	9444
19	184	9046
20	185	8657
21	188	8374
22	189	8054
23	190	7757
24	193	7557
25	194	7300
26	196	7063
27	197	6845
28	198	6648
29	199	6457
30	201	6296
31	203	6152
32	204	6001
33	206	5874
34	208	5749
35	210	5640
36	211	5515
37	213	5392
38	214	5277
39	215	5169
40	217	5090
41	218	4988
42	219	4889
43	220	4794
44	221	4704
45	222	4617
46	223	4534
47	224	4454
48	225	4378
49	226	4303
50	227	4230
51	228	4160
52	229	4093
53	231	4053
54	232	3992
55	233	3932
56	234	3875
57	235	3818
58	235	3763
59	236	3710
60	237	3658
61	238	3608
62	239	3560
63	240	3513
64	241	3468
65	241	3424
66	242	3381
67	243	3339
68	246	3322
69	247	3285
70	248	3249
71	249	3212
72	250	3175
73	250	3139
74	251	3103
75	252	3070
76	253	3036
77	254	3004
78	254	2972
79	255	2942
80	256	2911
81	257	2882
82	257	2850
83	261	2851
84	262	2825
85	263	2798
86	264	2772
87	265	2747
88	265	2722
89	266	2697
90	267	2672
91	268	2648
92	269	2625
93	270	2603
94	270	2580
95	271	2559
96	272	2537
97	273	2517
98	275	2509
99	277	2493
100	277	2473
101	278	2454
102	279	2435
103	280	2416
104	281	2397
105	282	2379
106	283	2361
107	283	2344
108	284	2326
109	285	2310
110	286	2293
111	287	2277
112	288	2260
113	290	2256
114	291	2243
115	292	2228
116	293	2211
117	293	2196
118	294	2181
119	295	2166
120	296	2152
121	297	2142
122	298	2128
123	299	2114
124	300	2101
125	301	2088
126	302	2078
127	303	2066
128	305	2064
129	307	2054
130	308	2043
131	309	2033
132	311	2029
133	312	2020
134	313	2009
135	315	2002
136	316	1992
137	317	1982
138	319	1982
139	321	1976
140	322	1966
141	323	1954
142	325	1950
143	326	1940
144	327	1930
145	328	1920
146	329	1910
147	330	1901
148	331	1891
149	332	1882
150	333	1872
151	335	1873
152	336	1864
153	337	1854
154	338	1846
155	339	1837
156	340	1828
157	341	1820
158	342	1811
159	343	1803
160	344	1793
161	345	1785
162	346	1778
163	347	1770
164	349	1770
165	351	1763
166	352	1756
167	353	1749
168	354	1742
169	355	1735
170	356	1727
171	357	1720
172	358	1712
173	359	1705
174	360	1697
175	360	1690
176	361	1682
177	364	1684
178	365	1678
179	366	1671
180	367	1664
181	368	1657
182	369	1650
183	370	1644
184	371	1637
185	372	1630
186	373	1624
187	374	1617
188	375	1612
189	377	1608
190	379	1609
191	380	1603
192	381	1596
193	382	1590
194	383	1584
195	384	1578
196	385	1572
197	386	1566
198	387	1560
199	388	1554
200	389	1548
201	390	1542
202	391	1536
203	392	1532
204	394	1528
205	395	1525
206	397	1521
207	398	1516
208	399	1511
209	401	1509
210	402	1506
211	404	1502
212	405	1498
213	410	1506
214	411	1503
215	412	1498
216	415	1498
217	416	1494
218	417	1490
219	419	1486
220	420	1483
221	424	1486
222	425	1481
223	426	1477
224	427	1472
225	428	1467
226	429	1463
227	430	1458
228	432	1454
229	433	1450
230	434	1446
231	435	1441
232	438	1443
233	440	1440
234	441	1436
235	442	1431
236	443	1427
237	444	1422
238	445	1417
239	446	1413
240	449	1414
241	454	1424
242	456	1423
243	458	1419
244	459	1416
245	461	1412
246	470	1434
247	471	1430
248	472	1426
249	474	1422
250	475	1417
251	476	1413
252	477	1409
253	478	1404
254	479	1399
255	480	1395
256	484	1400
257	485	1396
258	486	1392
259	487	1388
260	488	1383
261	489	1379
262	490	1375
263	491	1370
264	492	1366
265	495	1367
266	497	1365
267	498	1362
268	500	1358
269	501	1354
270	502	1350
271	502	1346
272	503	1342
273	504	1337
274	505	1333
275	506	1329
276	507	1325
277	511	1329
278	512	1325
279	513	1321
280	515	1318
281	516	1314
282	517	1310
283	518	1305
284	518	1301
285	519	1297
286	520	1294
287	521	1290
288	522	1286
289	525	1286
290	528	1287
291	531	1287
292	533	1287
293	539	1296
294	541	1294
295	543	1292
296	544	1288
297	545	1284
298	546	1280
299	547	1277
300	548	1273
301	549	1269
302	550	1265
303	551	1261
304	554	1264
305	555	1260
306	556	1257
307	558	1253
308	559	1250
309	559	1246
310	560	1242
311	561	1239
312	563	1235
